Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Flow_IAT_Mean,Flow_IAT_Max,Flow_IAT_Min,Flow_IAT_Std,Fwd_IAT_Total,Fwd_IAT_Mean,Bwd_IAT_Total,Bwd_IAT_Mean,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Protocol,Label
122958,41,340,39822.260454541356,30182.10886306729,1059.6955182534102,260.52125892507536,616.5034980467628,393.5427329930911,443.6838573483777,11331.169024427494,3001.8360966935206,2788.8018516081306,3638.2431102911446,9351.825699687284,7680.240952278556,5699.760315860636,18241.27988291792,520.0961567943675,251.74762226417874,422.7274372209415,278.11942772554465,91.8307652680873,17,Infiltration
147867,370,338,13633.704668951515,11401.689625305133,686.2313800722983,415.2948461979111,345.9392172387776,578.3472123373573,25.57295630273627,4557.756581522414,42621.42270900738,1656.1403657097785,86.21645193379484,13346.609981040816,2930.618951517561,11438.426197246396,10700.286684486851,1453.699416243484,461.26791033758053,501.22006412415277,794.9631518962757,763.0801059777127,17,PortScan
132932,204,146,34633.328176929856,27212.164166067756,815.5103815438463,210.20537541016392,607.9723191107556,540.6887783185201,69.05631107390472,18365.627417259395,36548.771088249196,1720.5708973294236,1141.1842310758816,7730.589357330376,897.4872178009688,1237.7445074063041,6009.497312575707,837.621620880427,220.57936395606976,1266.7870250220953,272.2897277871192,238.97857952129402,6,BruteForce
104694,264,450,13239.896135451252,34763.758149417714,1275.9042607238625,97.80298415547522,300.5833780632559,564.7833493942178,42.119812857438184,3864.1016299914595,34960.90376995493,1451.965849734343,4859.395274307187,16060.718030288965,3196.372830041893,19202.894581307366,15524.237594502749,1400.4855860848425,418.87138681164345,87.85422411270474,208.82507928847036,239.84348577558544,1,WebAttack
120879,328,324,46956.47054854206,25782.59306791011,725.401060061176,143.14148562869622,199.05518513161888,484.23205371802584,421.71186833162494,15909.271109852309,17049.849293428873,2277.9453817908166,4044.9352183474357,14783.538769099303,19150.704146789118,2243.003217318414,6253.289391207169,1016.7105074573021,248.42601687309005,1392.1542938715836,286.3696514248881,41.62254608711199,6,BruteForce
111268,178,478,31836.89536259205,49514.74427071781,566.078979966639,253.07684512836408,584.5656699279101,935.4887762040138,6.293104261789376,19335.119700770596,19057.268912049487,1685.8714007522367,2838.331220585508,14711.551899083357,14554.037175003685,1398.0321962323144,19265.933558266715,52.30187215268188,54.29902694563109,12.029264433374555,474.67116580570433,200.58392670949146,1,Infiltration
55886,348,161,16259.364418758338,30586.515729573923,744.9387646087189,266.1340655439147,338.6394722650283,254.75285894372968,430.966920593027,14555.49994802351,47909.86509207603,2740.1835740489764,1191.9349401073912,19704.5343090639,10558.831364476535,929.9976819176501,19659.954302402446,125.79266509210416,74.77960810369416,1409.3619810898551,729.2374368654163,338.08858776260894,6,PortScan
138337,318,127,13512.117521499018,18580.136943978843,872.9034080122232,402.98483239417556,785.1947979393249,1270.5121257445596,226.18262989026215,19857.532564933364,3283.8567304869575,3867.8127441041997,81.7073275744774,5939.838048564115,18831.39459609129,8574.074534741885,13339.256876904261,1086.04664349746,24.291200651281674,687.5901517142904,631.3520789072201,298.83708022825556,1,DDoS
169266,84,420,9586.782924328592,38618.99377941112,291.72570412973977,395.8850091025149,282.8407199349403,1220.47970120666,3.0086141481314037,13038.469783710038,38709.21367319585,3372.6319559384233,114.09874846067095,12912.275447500859,12386.017649255262,1988.336881970941,2281.541456107083,836.3060076498389,98.4620555472067,162.16271147621117,674.5817055651826,222.0508375417951,17,DDoS
88498,318,82,34747.315896741704,8564.602453503021,1352.352518097816,291.1019120450829,737.7732993221974,719.9599797043529,201.42094342880887,4388.333854897705,15550.702853048817,1472.9900068778315,3063.7845090158307,17116.792886198255,14515.647313730538,14905.732407063726,5271.544910166517,199.4559802538148,446.91343583534666,1014.5004371893691,687.9118454936669,37.39135108216258,1,Botnet
